input,output
I'm looking to buy a PBROS 2 Pieces Water Dispenser Plastic Tap for Water Filters-(Blue & RED). My budget is under 800.0.,"product name: PBROS 2 Pieces Water Dispenser Plastic Tap for Water Filters-(Blue & RED), price: 800.0"
I'm interested in buying a SMIPLEBOL - The Best Is Here Fridge Bottle Shelf Compatible for LG Double Door Refrigerator- Middle & Lower Rack(Part No: .... It should be priced under 750.0.,"product name: SMIPLEBOL - The Best Is Here Fridge Bottle Shelf Compatible for LG Double Door Refrigerator- Middle & Lower Rack(Part No: ..., price: 750.0"
"Is there any Bajaj Majesty Icx-3 1400W Induction Cooktop with Pan Sensor and Voltage Pro Technology, Black, Open, 1 Burner available for less than 4100.0?","product name: Bajaj Majesty Icx-3 1400W Induction Cooktop with Pan Sensor and Voltage Pro Technology, Black, Open, 1 Burner, price: 4100.0"
I wish to buy a VARiSTY Mini Puri Maker Press Ghughra Momos Maker Machine Press Puri Maker Press Dough Presser Tool Momo Puri Machine For .... My price limit is 999.0.,"product name: VARiSTY Mini Puri Maker Press Ghughra Momos Maker Machine Press Puri Maker Press Dough Presser Tool Momo Puri Machine For ..., price: 999.0"
"Can you find me a Stylista Top Load Fully Automatic Washing Machine Cover Suitable for Samsung 6 kg, 6.2 kg, 6.5 kg, 7 kg & 7.5 kg Ditzy Pat... for a price below 899.0?","product name: Stylista Top Load Fully Automatic Washing Machine Cover Suitable for Samsung 6 kg, 6.2 kg, 6.5 kg, 7 kg & 7.5 kg Ditzy Pat..., price: 899.0"
Do you have a Goel Home Decor Exclusive Decorative Kitchen Combo 1 Fridge Top Cover and 4 Fridge Mats (Tehni)- 5 Piece Set (Black Big Le... for under 999.0?,"product name: Goel Home Decor Exclusive Decorative Kitchen Combo 1 Fridge Top Cover and 4 Fridge Mats (Tehni)- 5 Piece Set (Black Big Le..., price: 999.0"
"I would like to get a Cello Eliza Plastic Laundry Bag/Basket, 50 litres, Light Grey. The cost should not exceed 1282.0.","product name: Cello Eliza Plastic Laundry Bag/Basket, 50 litres, Light Grey, price: 1282.0"
"Do you have a Bajaj Popular Light Weight 1000W Dry Iron with Advance Soleplate and Anti-Bacterial German Coating Technology, White for under 1010.0?","product name: Bajaj Popular Light Weight 1000W Dry Iron with Advance Soleplate and Anti-Bacterial German Coating Technology, White, price: 1010.0"
"I need a MILLRUN Wooden Cool Mist Humidifiers Essential Oil Diffuser Aroma Air Humidifier with Colorful Change for Car, Office, Bab.... It should cost less than 798.0.","product name: MILLRUN Wooden Cool Mist Humidifiers Essential Oil Diffuser Aroma Air Humidifier with Colorful Change for Car, Office, Bab..., price: 798.0"
Please help me find a 3in1 Multipurpose Oil Lubricant for Sewing Machine Oil Home Appliances and All Purpose that costs below 225.0.,"product name: 3in1 Multipurpose Oil Lubricant for Sewing Machine Oil Home Appliances and All Purpose, price: 225.0"
Please help me find a GIONEE Brings 1100W 0.5ltr Double Wall Portable Steel body small Electric Kettle for Water/Tea/Coffee/Milk/Noodle with fas... that costs below 1995.0.,"product name: GIONEE Brings 1100W 0.5ltr Double Wall Portable Steel body small Electric Kettle for Water/Tea/Coffee/Milk/Noodle with fas..., price: 1995.0"
"I would like to get a MITOOZ® Refrigerator Combo of Exclusive Decorative 1 Fridge TOP Cover, 2 Handle Cover, 3 Fridge MATS(6 PCS Set) Peacock. The cost should not exceed 999.0.","product name: MITOOZ® Refrigerator Combo of Exclusive Decorative 1 Fridge TOP Cover, 2 Handle Cover, 3 Fridge MATS(6 PCS Set) Peacock, price: 999.0"
"I need a Crompton Ginie Neo Personal Air Cooler - 10L, White and Light Blue. It should cost less than 4900.0.","product name: Crompton Ginie Neo Personal Air Cooler - 10L, White and Light Blue, price: 4900.0"
"Can you find me a HOSTK 3PCS Faucet Water Filter for Kitchen Sink, Universal Interface Activated Carbon Cleaning Purifier, Splash-Proof and ... for a price below 799.0?","product name: HOSTK 3PCS Faucet Water Filter for Kitchen Sink, Universal Interface Activated Carbon Cleaning Purifier, Splash-Proof and ..., price: 799.0"
"I need a DREAM CARE Waterproof & Dustproof Washing Machine Cover Top Load & Semi Automatic Suitable for 7 kg, 7.2 kg, 7.5 kg (83 x .... It should cost less than 1199.0.","product name: DREAM CARE Waterproof & Dustproof Washing Machine Cover Top Load & Semi Automatic Suitable for 7 kg, 7.2 kg, 7.5 kg (83 x ..., price: 1199.0"
Can you find me a HOKIPO Oxford Fabric Sorter Laundry Basket with Wheels | 2 Compartment Laundry Hamper with Lid Cover | Rolling Laundry Clo... for a price below 1799.0?,"product name: HOKIPO Oxford Fabric Sorter Laundry Basket with Wheels | 2 Compartment Laundry Hamper with Lid Cover | Rolling Laundry Clo..., price: 1799.0"
"I'm looking to buy a Kapicon KP-30 High Pressure Car Washer Machine, Motive Power 1800 watt and max Pressure 135 bar with Cyan Blue Colour. My budget is under 12999.0.","product name: Kapicon KP-30 High Pressure Car Washer Machine, Motive Power 1800 watt and max Pressure 135 bar with Cyan Blue Colour, price: 12999.0"
"I'm interested in buying a PESOMA Table Fan, Small Portable Desktop Fan with 21 SMD Light Strong Wind, Quiet Operation Personal Mini Fan for Home Off.... It should be priced under 2999.0.","product name: PESOMA Table Fan, Small Portable Desktop Fan with 21 SMD Light Strong Wind, Quiet Operation Personal Mini Fan for Home Off..., price: 2999.0"
Can you find me a BLUE STAR Water Purifier Filters Kit (Essential Kit) Suitable For all types of BLUE STAR water purifier. for a price below 2500.0?,"product name: BLUE STAR Water Purifier Filters Kit (Essential Kit) Suitable For all types of BLUE STAR water purifier., price: 2500.0"
"Is there any USHA Quartz Room Heater with Overheating Protection (3002, Ivory, 800 Watts) available for less than 1630.0?","product name: USHA Quartz Room Heater with Overheating Protection (3002, Ivory, 800 Watts), price: 1630.0"
Is there any KENT Ultra Storage UV Water Purifier (11042) | UV+UF Water Purification | Wall Mountable | 8L Storage | 60 L/hr Output | W... available for less than 10000.0?,"product name: KENT Ultra Storage UV Water Purifier (11042) | UV+UF Water Purification | Wall Mountable | 8L Storage | 60 L/hr Output | W..., price: 10000.0"
"I need a Osram Pureitec HNS G5 4 Watt for drinking water purifiers of Livpure, Havells, Aquaguard, Aquasure, Hindware, Faber etc, 1.... It should cost less than 600.0.","product name: Osram Pureitec HNS G5 4 Watt for drinking water purifiers of Livpure, Havells, Aquaguard, Aquasure, Hindware, Faber etc, 1..., price: 600.0"
Do you have a Credly Korean Style 2 in 1 Multifunctional Nonstick Electric BBQ Raclette Hotpot with Grill Pan (Black). for under 3987.0?,"product name: Credly Korean Style 2 in 1 Multifunctional Nonstick Electric BBQ Raclette Hotpot with Grill Pan (Black)., price: 3987.0"
I'm looking to buy a 10MM Brass Air Gas Straight Hose Pipe Barb Coupler Connector Solid Brass Hose Tail Connector Gas/Pond/Pool/Hose Pipe Adapt.... My budget is under 544.0.,"product name: 10MM Brass Air Gas Straight Hose Pipe Barb Coupler Connector Solid Brass Hose Tail Connector Gas/Pond/Pool/Hose Pipe Adapt..., price: 544.0"
I would like to get a Ikea BASTIS Lint Roller Refill. The cost should not exceed 599.0.,"product name: Ikea BASTIS Lint Roller Refill, price: 599.0"
"Can you find me a Seazone Push fit Connector,Push to Connect Water Tube Fitting Ball Valve,Tee,Straight Union,E-blow Union Tube Fitting, 5 M... for a price below 580.0?","product name: Seazone Push fit Connector,Push to Connect Water Tube Fitting Ball Valve,Tee,Straight Union,E-blow Union Tube Fitting, 5 M..., price: 580.0"
"Please help me find a LG 7 kg 5 Star Semi-Automatic Top Loading Washing Machine (P7010RRAZ, Burgundy, Roller Jet Pulsator), Large that costs below 16590.0.","product name: LG 7 kg 5 Star Semi-Automatic Top Loading Washing Machine (P7010RRAZ, Burgundy, Roller Jet Pulsator), Large, price: 16590.0"
I'm looking to buy a HOMETRONICS 7 Speed Control Electric Hand Mixer with Stainless Steel Beater & Dough Hook (White). My budget is under 1999.0.,"product name: HOMETRONICS 7 Speed Control Electric Hand Mixer with Stainless Steel Beater & Dough Hook (White), price: 1999.0"
"I wish to buy a Kelvinator Mini Refrigerator 45 litres 1 Star Single Door, Silver Grey KRC-B060SGP. My price limit is 12490.0.","product name: Kelvinator Mini Refrigerator 45 litres 1 Star Single Door, Silver Grey KRC-B060SGP, price: 12490.0"
"Can you find me a Lepose Oven Stand, Oven Stand for Kitchen, Microwave Oven Stand for Kitchen, Micro Oven Stand in Kitchen, Microwave Oven S... for a price below 1499.0?","product name: Lepose Oven Stand, Oven Stand for Kitchen, Microwave Oven Stand for Kitchen, Micro Oven Stand in Kitchen, Microwave Oven S..., price: 1499.0"
"Do you have a SIDDHIVINAYAK PET Plastic Empty Refillable Pocket Mist Spray Bottle with Dust Cap 100 ml Spray Bottle (Clear, PET) (20) for under 1000.0?","product name: SIDDHIVINAYAK PET Plastic Empty Refillable Pocket Mist Spray Bottle with Dust Cap 100 ml Spray Bottle (Clear, PET) (20), price: 1000.0"
"Is there any ELITE PRODUCTS Top Load Washing Machine Cover for Bosch (Grey and Black, 7, 7.5, 8, 8.5 kg) available for less than 1499.0?","product name: ELITE PRODUCTS Top Load Washing Machine Cover for Bosch (Grey and Black, 7, 7.5, 8, 8.5 kg), price: 1499.0"
"Please help me find a Outontrip Classic Metallic Herb Crusher, Grinder Medium with Filter (Herb Grinder/ Herb Crusher 42 mm) that costs below 699.0.","product name: Outontrip Classic Metallic Herb Crusher, Grinder Medium with Filter (Herb Grinder/ Herb Crusher 42 mm), price: 699.0"
I'm interested in buying a Hi-Tech RO Melt Blown Replaceable Cartridge 10 in 5 Micron Sediment Filter for All Types of Water Purifiers (Grooving 150 .... It should be priced under 699.0.,"product name: Hi-Tech RO Melt Blown Replaceable Cartridge 10 in 5 Micron Sediment Filter for All Types of Water Purifiers (Grooving 150 ..., price: 699.0"
I'm interested in buying a SHAPURE for Water Filter RO Purifier Complete Service KIT+ 80 GPD Membrane Compatible with KENT/DOLPHINE/REVIVA/AQUAGRAND.... It should be priced under 2999.0.,"product name: SHAPURE for Water Filter RO Purifier Complete Service KIT+ 80 GPD Membrane Compatible with KENT/DOLPHINE/REVIVA/AQUAGRAND..., price: 2999.0"
I want to purchase a TARGET HYGIENE Air Purifier and Humidifier Aroma Diffuser Air Revitalizer | Air Purifier and Revitalizer With Monochrome L.... The price should be no more than 2499.0.,"product name: TARGET HYGIENE Air Purifier and Humidifier Aroma Diffuser Air Revitalizer | Air Purifier and Revitalizer With Monochrome L..., price: 2499.0"
"Can you find me a Orient Electric Tornado Pedestal Fan, 450 mm, Black for a price below 5155.0?","product name: Orient Electric Tornado Pedestal Fan, 450 mm, Black, price: 5155.0"
Please help me find a Philips GC158/02 1100-Watt Dry Iron (Pink) that costs below 1495.0.,"product name: Philips GC158/02 1100-Watt Dry Iron (Pink), price: 1495.0"
"I need a Wooden Battery Trolley With Battery Tray | Inverter Battery Trolley | Wooden Invertor Trolley for Battery, Inverter, ups B.... It should cost less than 3499.0.","product name: Wooden Battery Trolley With Battery Tray | Inverter Battery Trolley | Wooden Invertor Trolley for Battery, Inverter, ups B..., price: 3499.0"
Do you have a DeLonghi EC685.M 1350-Watt Espresso Coffee Machine (Metallic) for under 29990.0?,"product name: DeLonghi EC685.M 1350-Watt Espresso Coffee Machine (Metallic), price: 29990.0"
I want to purchase a NID Studio Test [Mains] – Home Coaching Kit [SILICA]. The price should be no more than 1500.0.,"product name: NID Studio Test [Mains] – Home Coaching Kit [SILICA], price: 1500.0"
"I want to purchase a Samsung 223 L 3 Star Inverter Direct-Cool Single Door Refrigerator (RR24C2Y23CR/NL, Camellia Purple). The price should be no more than 23999.0.","product name: Samsung 223 L 3 Star Inverter Direct-Cool Single Door Refrigerator (RR24C2Y23CR/NL, Camellia Purple), price: 23999.0"
Please help me find a Candes Crystal VS-4100MS 4kVA for 1.5 Ton / 1 Ton AC (100V to 285V) Voltage Stabilizer with Wide Working Range Best for In... that costs below 9599.0.,"product name: Candes Crystal VS-4100MS 4kVA for 1.5 Ton / 1 Ton AC (100V to 285V) Voltage Stabilizer with Wide Working Range Best for In..., price: 9599.0"
I'm looking to buy a Panasonic SR-Y22FHS 750-Watt Automatic Electric Cooker with Non-Stick Cooking Pan (Burgundy). My budget is under 5395.0.,"product name: Panasonic SR-Y22FHS 750-Watt Automatic Electric Cooker with Non-Stick Cooking Pan (Burgundy), price: 5395.0"
"I'm looking to buy a Brayden Spizo Multifunctional Grinder | Grind Turmeric, Masala & Coffee Grinder for Kitchen | Stainless Steel Blades | (El.... My budget is under 1499.0.","product name: Brayden Spizo Multifunctional Grinder | Grind Turmeric, Masala & Coffee Grinder for Kitchen | Stainless Steel Blades | (El..., price: 1499.0"
"I would like to get a LG 6.5 Kg 5 Star Inverter Touch Panel Fully-Automatic Front Load Washing Machine (FHM1065SDW, White, With Steam Wash). The cost should not exceed 37990.0.","product name: LG 6.5 Kg 5 Star Inverter Touch Panel Fully-Automatic Front Load Washing Machine (FHM1065SDW, White, With Steam Wash), price: 37990.0"
"I'm interested in buying a Milton Go Electro 2.0 Stainless Steel Electric Kettle, 1 Piece, 2 Litres, Silver | Power Indicator | 1500 Watts | Auto Cu.... It should be priced under 1465.0.","product name: Milton Go Electro 2.0 Stainless Steel Electric Kettle, 1 Piece, 2 Litres, Silver | Power Indicator | 1500 Watts | Auto Cu..., price: 1465.0"
"I wish to buy a Krimpee Electric Multifunction Cooking Pot 1.5 Litre Multi-Purpose Cooker Rice Cooker, Food Steamer, Egg Roll Maker, Trave.... My price limit is 1199.0.","product name: Krimpee Electric Multifunction Cooking Pot 1.5 Litre Multi-Purpose Cooker Rice Cooker, Food Steamer, Egg Roll Maker, Trave..., price: 1199.0"
Do you have a QPT by STARQ 2500W High Pressure Washer 180-250Bar Q5 (Q5 Combo) for under 19999.0?,"product name: QPT by STARQ 2500W High Pressure Washer 180-250Bar Q5 (Q5 Combo), price: 19999.0"
Please help me find a HUL Pureit Ultima Mineral RO + UV + MF 7 stage Table top / wall mountable Black 10 litres Water Purifier that costs below 24500.0.,"product name: HUL Pureit Ultima Mineral RO + UV + MF 7 stage Table top / wall mountable Black 10 litres Water Purifier, price: 24500.0"
I'm looking to buy a REXAN POPULAR IRON 750W WHITE COLOUR. My budget is under 600.0.,"product name: REXAN POPULAR IRON 750W WHITE COLOUR, price: 600.0"
"Do you have a Deco Window Aluminium Home Garden Torch Marshal Conical, 60-inch, Brown Oil Rubbed -Set of 4, 250ML TORCH FUEL HOLD for under 1999.0?","product name: Deco Window Aluminium Home Garden Torch Marshal Conical, 60-inch, Brown Oil Rubbed -Set of 4, 250ML TORCH FUEL HOLD, price: 1999.0"
"Do you have a 250W Watt Bosh Star Hand Blender Cum Hand Mixer For Home Kitchen (Grey White) (Plain), 1 Jar for under 1500.0?","product name: 250W Watt Bosh Star Hand Blender Cum Hand Mixer For Home Kitchen (Grey White) (Plain), 1 Jar, price: 1500.0"
Is there any NAC GLOBAL® Balancia 30kg Double Display weight machine with steel plate Portable Electronic Digital Kitchen weight Scale ... available for less than 2500.0?,"product name: NAC GLOBAL® Balancia 30kg Double Display weight machine with steel plate Portable Electronic Digital Kitchen weight Scale ..., price: 2500.0"
"Do you have a Orbit Magix Multipurpose Outer Lid Electric Cooker (2.5 Liter, Black) - Aluminium for under 2999.0?","product name: Orbit Magix Multipurpose Outer Lid Electric Cooker (2.5 Liter, Black) - Aluminium, price: 2999.0"
"I would like to get a Wacaco Nanopresso Portable Espresso Maker, Upgrade Version of Minipresso, 18 Bar Pressure Hand Coffee Maker, Travel Gadget.... The cost should not exceed 6690.0.","product name: Wacaco Nanopresso Portable Espresso Maker, Upgrade Version of Minipresso, 18 Bar Pressure Hand Coffee Maker, Travel Gadget..., price: 6690.0"
"Please help me find a Amazon Brand - Solimo PVC 25 Litre Microwave Oven Cover, Polka, Blue that costs below 500.0.","product name: Amazon Brand - Solimo PVC 25 Litre Microwave Oven Cover, Polka, Blue, price: 500.0"
"I need a Samsung 192 L 3 Star Inverter Direct Cool Single Door Refrigerator (RR20A182YCR/HL, Camellia Purple, Base stand drawer, 20.... It should cost less than 19990.0.","product name: Samsung 192 L 3 Star Inverter Direct Cool Single Door Refrigerator (RR20A182YCR/HL, Camellia Purple, Base stand drawer, 20..., price: 19990.0"
"I'm looking to buy a Aquaguard ro service kit for reviva Enhance white plastic,with Sediment Filter, Carben filter and Membrane. My budget is under 5000.0.","product name: Aquaguard ro service kit for reviva Enhance white plastic,with Sediment Filter, Carben filter and Membrane, price: 5000.0"
I want to purchase a Philips Viva HL7715 700-Watt Juicer Mixer Grinder with 3 Jars (Pistil Red/White). The price should be no more than 7995.0.,"product name: Philips Viva HL7715 700-Watt Juicer Mixer Grinder with 3 Jars (Pistil Red/White), price: 7995.0"
"I would like to get a ROCKWELL RVC550B Single glass door Visi cooler,448 Litres,White (Internal LED, Heavy Duty, Dynamic cooling). The cost should not exceed 110489.0.","product name: ROCKWELL RVC550B Single glass door Visi cooler,448 Litres,White (Internal LED, Heavy Duty, Dynamic cooling), price: 110489.0"
"I'm looking to buy a Amazon Brand - Solimo Cotton Blend Fridge Top Cover, Blue. My budget is under 400.0.","product name: Amazon Brand - Solimo Cotton Blend Fridge Top Cover, Blue, price: 400.0"
"Can you find me a Natraj Viva Designer Atta Chakki, Flour Mill Fully Automatic Domestic Ghar Ghanti for Grinding Masala and Grains, with Sta... for a price below 22090.0?","product name: Natraj Viva Designer Atta Chakki, Flour Mill Fully Automatic Domestic Ghar Ghanti for Grinding Masala and Grains, with Sta..., price: 22090.0"
"I would like to get a Hexzone® Cream, Adjustable Front/Top Loading Washing Machine/Refrigerator Trolley Stand (100% Metal). The cost should not exceed 1450.0.","product name: Hexzone® Cream, Adjustable Front/Top Loading Washing Machine/Refrigerator Trolley Stand (100% Metal), price: 1450.0"
I wish to buy a Orient Electric Ecoswift 15 Litre Storage Water Heater | Durable and Waterproof Metal Body with Advanced 5-Level Safety Fe.... My price limit is 8500.0.,"product name: Orient Electric Ecoswift 15 Litre Storage Water Heater | Durable and Waterproof Metal Body with Advanced 5-Level Safety Fe..., price: 8500.0"
I'm interested in buying a KAFF Flo BF 60 Cm Chimney | Heavy Duty Baffle Filter | Matt Black Rust Free Coating | Black Curved Tempered Glass. It should be priced under 18990.0.,"product name: KAFF Flo BF 60 Cm Chimney | Heavy Duty Baffle Filter | Matt Black Rust Free Coating | Black Curved Tempered Glass, price: 18990.0"
Please help me find a Vacuum Packers BPA Free 22cm x 21cm set of 12 Pouches Zip locker Re-Usable Food Vacuum Sealer Bags with Air Valve that costs below 1099.0.,"product name: Vacuum Packers BPA Free 22cm x 21cm set of 12 Pouches Zip locker Re-Usable Food Vacuum Sealer Bags with Air Valve, price: 1099.0"
"I wish to buy a JPT Water Filter Pressure Washer Accessory For JPT, StarQ, Bosch, ResQTech (Pack of 2). My price limit is 1099.0.","product name: JPT Water Filter Pressure Washer Accessory For JPT, StarQ, Bosch, ResQTech (Pack of 2), price: 1099.0"
Do you have a Braun Mq 3000 700 - Watt Hand Blender (White & Blue) for under 6999.0?,"product name: Braun Mq 3000 700 - Watt Hand Blender (White & Blue), price: 6999.0"
"I wish to buy a Philips Steam Iron DST5030/80, 2400 Watt, Quick Heat up with up to 45 g/min steam, 180 g Steam Boost, SteamGlide Plus Sole.... My price limit is 5995.0.","product name: Philips Steam Iron DST5030/80, 2400 Watt, Quick Heat up with up to 45 g/min steam, 180 g Steam Boost, SteamGlide Plus Sole..., price: 5995.0"
"Please help me find a AtLoGs ""HL1606"" Jar for PHILIPS mixer grinders (Stainless Steel, 1 Unit) (340 ml) that costs below 986.0.","product name: AtLoGs ""HL1606"" Jar for PHILIPS mixer grinders (Stainless Steel, 1 Unit) (340 ml), price: 986.0"
I want to purchase a Stylista Waterproof Front Load Washing Machine Cover Compatible for LG 8 kg & 9 Kg Grey. The price should be no more than 899.0.,"product name: Stylista Waterproof Front Load Washing Machine Cover Compatible for LG 8 kg & 9 Kg Grey, price: 899.0"
I wish to buy a JPT Water Inlet Micro Pump Filter - Pack of 2. My price limit is 589.0.,"product name: JPT Water Inlet Micro Pump Filter - Pack of 2, price: 589.0"
I'm interested in buying a Kuber Industries Fridge Top Cover|Refrigerator Cover for Kitchen|Fridge Top Cover with Pockets and Handle|Non-Woven Strawb.... It should be priced under 899.0.,"product name: Kuber Industries Fridge Top Cover|Refrigerator Cover for Kitchen|Fridge Top Cover with Pockets and Handle|Non-Woven Strawb..., price: 899.0"
"I need a Groupon Multi-Purpose Step Square Plastic Stand& Foot for Wardrobe, Refrigerator, Sofa, Sleeping Bed, Dinning Table and Dr.... It should cost less than 899.0.","product name: Groupon Multi-Purpose Step Square Plastic Stand& Foot for Wardrobe, Refrigerator, Sofa, Sleeping Bed, Dinning Table and Dr..., price: 899.0"
"I'm interested in buying a Casa Copenhagen Lion Collection'23, 40 L - Personal Air Cooler with Anti Bacterial Honeycomb Pads, 3rd Turbo Fan, Powerful.... It should be priced under 19999.0.","product name: Casa Copenhagen Lion Collection'23, 40 L - Personal Air Cooler with Anti Bacterial Honeycomb Pads, 3rd Turbo Fan, Powerful..., price: 19999.0"
Is there any Alexvyan Imported Universal Fordable Cast Iron Powder Coated Extendable Stretch Shelf for Microwave Oven OTG Printer Speak... available for less than 1199.0?,"product name: Alexvyan Imported Universal Fordable Cast Iron Powder Coated Extendable Stretch Shelf for Microwave Oven OTG Printer Speak..., price: 1199.0"
"I wish to buy a DIVYA DP-55 Infrared Cooktop Manual Aluminium Electric Stove is 2000 -Watts with Grill with 1 Burner, Black. My price limit is 4500.0.","product name: DIVYA DP-55 Infrared Cooktop Manual Aluminium Electric Stove is 2000 -Watts with Grill with 1 Burner, Black, price: 4500.0"
"I'm interested in buying a Eureka Forbes Dr. Aquaguard Compact Water Purifier, White (Pack of 1 Water Purifier, Plumbing Kit Assy, Ultraviolet) (Not .... It should be priced under 14990.0.","product name: Eureka Forbes Dr. Aquaguard Compact Water Purifier, White (Pack of 1 Water Purifier, Plumbing Kit Assy, Ultraviolet) (Not ..., price: 14990.0"
I want to purchase a Priya Heavy Non-Stick Sandwich Gas Toaster Regular (Black). The price should be no more than 405.0.,"product name: Priya Heavy Non-Stick Sandwich Gas Toaster Regular (Black), price: 405.0"
"I'm looking to buy a Remino Complete RO Service kit with copper filter, 80 GPD RO membrane for All Type Of Water Purifier. My budget is under 2999.0.","product name: Remino Complete RO Service kit with copper filter, 80 GPD RO membrane for All Type Of Water Purifier, price: 2999.0"
Can you find me a Thea Innovations Pre Filter for AIR PURIFIERS and AIR CONDITIONERS Washable & Re-Usable (2 Sheets) for Converting AC into ... for a price below 499.0?,"product name: Thea Innovations Pre Filter for AIR PURIFIERS and AIR CONDITIONERS Washable & Re-Usable (2 Sheets) for Converting AC into ..., price: 499.0"
"I need a DAIVE TAFTA Heavy Duty Air Conditioner Outdoor Unit Mounting Bracket Ac out door stand for 1 Ton, 1.1 Ton, 1.2 Ton, 1.5 To.... It should cost less than 1000.0.","product name: DAIVE TAFTA Heavy Duty Air Conditioner Outdoor Unit Mounting Bracket Ac out door stand for 1 Ton, 1.1 Ton, 1.2 Ton, 1.5 To..., price: 1000.0"
"I'm interested in buying a InstaCuppa Coffee Mug Warmer for Desk with 4 Adjustable Temperature Settings - Min 50*C - Max 80*C, 8 Hour Auto Shut Off, .... It should be priced under 2499.0.","product name: InstaCuppa Coffee Mug Warmer for Desk with 4 Adjustable Temperature Settings - Min 50*C - Max 80*C, 8 Hour Auto Shut Off, ..., price: 2499.0"
"I want to purchase a Faber 12 Place Settings Dishwasher (FFSD 6PR 12S, Neo Black, Best suited for Indian Kitchen, Hygiene Wash). The price should be no more than 39990.0.","product name: Faber 12 Place Settings Dishwasher (FFSD 6PR 12S, Neo Black, Best suited for Indian Kitchen, Hygiene Wash), price: 39990.0"
"Do you have a WINMAX 1 Inch Automatic Water Level Control Valve/Flot Valve(Made in India), Inside Type,Used for Water Tank, Auto Pot, Aq... for under 899.0?","product name: WINMAX 1 Inch Automatic Water Level Control Valve/Flot Valve(Made in India), Inside Type,Used for Water Tank, Auto Pot, Aq..., price: 899.0"
"Please help me find a GRATIFY Mansa traders Jute&cotton Rope Laundry Hamper Basket, 58L Tall Woven Laundry Basket for Blanket Organizer- Clothes... that costs below 1599.0.","product name: GRATIFY Mansa traders Jute&cotton Rope Laundry Hamper Basket, 58L Tall Woven Laundry Basket for Blanket Organizer- Clothes..., price: 1599.0"
Is there any Havells Nicola 1400mm High Performance at Low Voltage (HPLV) Ceiling Fan (Bronze Copper) available for less than 6180.0?,"product name: Havells Nicola 1400mm High Performance at Low Voltage (HPLV) Ceiling Fan (Bronze Copper), price: 6180.0"
I'm interested in buying a AMAZOR Tap Adaptor Whirlpool Washing Machines or dishwashers. It should be priced under 390.0.,"product name: AMAZOR Tap Adaptor Whirlpool Washing Machines or dishwashers, price: 390.0"
"I need a Epsilon 6 Layer Carbon Activated Chlorine Remover Taps, Tap Water Filter/Purifier for Drinking, Alkaline Water Saver Fauce.... It should cost less than 999.0.","product name: Epsilon 6 Layer Carbon Activated Chlorine Remover Taps, Tap Water Filter/Purifier for Drinking, Alkaline Water Saver Fauce..., price: 999.0"
"I want to purchase a RODAK Reusable Vacuum Cleaner Bag with Jubilee Clip (20/30 L), Compatible with 52 to 76 mm outerdiameter Connecting Size. The price should be no more than 599.0.","product name: RODAK Reusable Vacuum Cleaner Bag with Jubilee Clip (20/30 L), Compatible with 52 to 76 mm outerdiameter Connecting Size, price: 599.0"
Do you have a BOSCH 6m High-Pressure Hose for AQT & AQUATAK High-Pressure Washers for under 1350.0?,"product name: BOSCH 6m High-Pressure Hose for AQT & AQUATAK High-Pressure Washers, price: 1350.0"
Do you have a Jigva Professional Digital Jewelry Tabletop Weighing Scale (Multicolor) for under 799.0?,"product name: Jigva Professional Digital Jewelry Tabletop Weighing Scale (Multicolor), price: 799.0"
"Is there any USHA Sure Blend 125 Watts Hand Blender (White, Red with Sparkle Finish) available for less than 1790.0?","product name: USHA Sure Blend 125 Watts Hand Blender (White, Red with Sparkle Finish), price: 1790.0"
"I'm looking to buy a Eureka Forbes Wet & Dry Ultimo 1400 Watts Multipurpose Vacuum Cleaner,Power Suction & Blower with 20 litres Tank Capacity,.... My budget is under 9999.0.","product name: Eureka Forbes Wet & Dry Ultimo 1400 Watts Multipurpose Vacuum Cleaner,Power Suction & Blower with 20 litres Tank Capacity,..., price: 9999.0"
"I'm interested in buying a Brayden Spizo Multifunctional Grinder | Grind Turmeric, Masala & Coffee Grinder for Kitchen | Stainless Steel Blades | (El.... It should be priced under 1499.0.","product name: Brayden Spizo Multifunctional Grinder | Grind Turmeric, Masala & Coffee Grinder for Kitchen | Stainless Steel Blades | (El..., price: 1499.0"
Is there any RP MALL New Mini Sealing Machine Plastic Bag Sealer Machine Sealer for Plastic Bags Hand Sealer Machine Mini Food SealerMi... available for less than 210.0?,"product name: RP MALL New Mini Sealing Machine Plastic Bag Sealer Machine Sealer for Plastic Bags Hand Sealer Machine Mini Food SealerMi..., price: 210.0"
"I'm looking to buy a Ampereus 4 Pcs Ro Jar Or Water Dispenser Polythene Tap Compatible for Most of Water Filter,Water Jar,All Kinds of Water Fi.... My budget is under 599.0.","product name: Ampereus 4 Pcs Ro Jar Or Water Dispenser Polythene Tap Compatible for Most of Water Filter,Water Jar,All Kinds of Water Fi..., price: 599.0"
I wish to buy a Butterfly MGA Multipurpose Blender Jar -1.5L (Black). My price limit is 790.0.,"product name: Butterfly MGA Multipurpose Blender Jar -1.5L (Black), price: 790.0"
